Termo;Descrição Padrão
Leito;Leito
Eletroduto;Eletroduto
Tubo;Eletroduto
Duto ;Eletroduto
Condulete;Condulete
Eletrocalha;Eletrocalha
Caixa de Ligação;Condulete
Perfilado;Perfilado
Tampa;Tampa
Unidut;Eletroduto
Perfurada;Eletrocalha
Virola;Eletrocalha
Pesado;Leito
Unidade;Eletroduto
Cabo;Cabo
Condutor;Cabo
Aramado;Eletrocalha
Aramada;Eletrocalha
"Vergalhão 1/4""";Eletrocalha
"vergalhão de 1/4""";Eletrocalha
Conduíte;Eletroduto
Conduite;Eletroduto
Caixa de Derivação;Condulete
caixa, derivação;Condulete
Caixa e Ligação;Condulete
Tomada;Tomada
Aterramento;Aterramento
Terra;Aterramento
Luminária;Luminária
Luminaria;Luminária
Refletor;Luminária
Projetor;Luminária
Interruptor;Interruptor
Cartucho;Aterramento
Botoeira;Interruptor
Transformador;Transformador
Chumbador;Acessórios
Vergalhão;Acessórios
Bucha;Acessórios
Gancho;Acessórios
Barra Roscada;Acessórios
Mão Francesa;Acessórios
Caixa de Junção;Condulete
100 x 50;Eletrocalha
50 x 50;Eletrocalha
Macho Giratório;Eletroduto
Macho Giratorio;Eletroduto
Macho Fixo;Eletroduto
Fêmea Fixa;Eletroduto
Fêmea Giratório;Eletroduto
Fêmea Giratorio;Eletroduto
Femea Giratório;Eletroduto
Femea Giratorio;Eletroduto
Prensa Cabo;Eletroduto
Suporte;Acessórios
1000 mm;Eletrocalha
100x50;Eletrocalha
1000mm;Eletrocalha
Horizontal;Eletrocalha
Vertical;Eletrocalha
Interna;Eletrocalha
Externa;Eletrocalha
Prensa-Cabo;Eletroduto
Abrçadeira;Eletroduto
Saída;Eletroduto
Cabo de Aço;Acessórios
Bucha Terminal;Eletroduto
Caixa de Passagem;Condulete
Braçadeira;Eletroduto
"Grampo ""u""";Eletroduto
caixa, derivacao;Condulete
Terminal;Cabo
Caixa Liga Passagem;Condulete
Caixa de Alumínio;Condulete
Saida;Eletroduto
Caixa de Aluminio;Condulete
Terminação;Cabo
Terminacao;Cabo
Grampo tipo u;Eletroduto
Caixa Redonda;Condulete
Curva;Eletroduto
Conector;Aterramento
Grampo paralelo;Aterramento
Luva de Redução;Eletroduto
Tirante;Acessórios
Niple;Eletroduto
Bucha de Redução;Eletroduto
Tampão;Eletroduto
Bloco Autônomo;Luminária
União;Eletroduto
Septo;Acessórios
Caixa para Perfilado;Acessórios
ILUMINAÇÃO DE EMERGÊNCIA;Luminária
Caixa, perfilado;Acessórios
Caixa para Tomada;Acessórios
Tubing;Tubing
Swagelok;Tubing
Anilha;Tubing
Multipla;Tubing
Agulha;Tubing
